asset_id,original_file,brand_detected,category,visual_role,source_type,source_url,rights_status,commercial_use_allowed,derivative_allowed,needs_masking,masking_targets,risk_level,approved_for_generation,notes
asset_000001,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_001.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000002,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_002.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000003,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_003.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000004,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_004.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000005,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_005.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000006,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_006.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000007,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_007.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000008,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_008.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000009,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_009.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000010,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_010.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000011,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_011.jpg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000012,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_012.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
asset_000013,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_013.jpeg,메가커피,exterior,hero,self_shot,,owned,True,True,True,"license_plate,phone_number,store_branch_name",medium,False,
