"brand","category","ready_file","source_copy","original_source","status","notes"
"01_megacoffee","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\03_counter_kiosk_order\01_megacoffee_03_counter_kiosk_order_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\03-counter-kiosk-order\megacoffee-0001-2_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_1.jpg","classified","카운터와 메뉴보드가 함께 보이는 매장 내부"
"01_megacoffee","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\03_counter_kiosk_order\01_megacoffee_03_counter_kiosk_order_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\03-counter-kiosk-order\megacoffee-0002-2_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_10.jpg","classified","주문 카운터와 메뉴보드"
"01_megacoffee","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\03_counter_kiosk_order\01_megacoffee_03_counter_kiosk_order_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\03-counter-kiosk-order\megacoffee-0003-2_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_11.jpg","classified","카운터 정면과 디지털 메뉴"
"01_megacoffee","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\05_food_drink_menu\01_megacoffee_05_food_drink_menu_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\05-food-drink-menu\megacoffee-0004-2_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_12.jpg","classified","음료와 디저트"
"01_megacoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\02_interior_seating\01_megacoffee_02_interior_seating_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\02-interior-seating\megacoffee-0005-2_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_13.jpg","classified","창가 좌석"
"01_megacoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\02_interior_seating\01_megacoffee_02_interior_seating_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\02-interior-seating\megacoffee-0006-2_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_14.jpg","classified","좌석과 매장 내부"
"01_megacoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\02_interior_seating\01_megacoffee_02_interior_seating_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\02-interior-seating\megacoffee-0007-2_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_15.jpg","classified","벽면 그래픽과 좌석"
"01_megacoffee","06_menu_promotion","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\06_menu_promotion\01_megacoffee_06_menu_promotion_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\06-menu-promotion\megacoffee-0008-2_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_16.jpg","classified","홍보물과 냉장 쇼케이스"
"01_megacoffee","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\01-exterior-signage\megacoffee-0009-2_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_17.jpg","classified","외부 간판과 출입구"
"01_megacoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\02_interior_seating\01_megacoffee_02_interior_seating_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\02-interior-seating\megacoffee-0010-2_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_18.jpg","classified","좌석 공간"
"01_megacoffee","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\03_counter_kiosk_order\01_megacoffee_03_counter_kiosk_order_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\03-counter-kiosk-order\megacoffee-0011-2_19.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_19.jpg","classified","픽업 동선과 카운터"
"01_megacoffee","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\03_counter_kiosk_order\01_megacoffee_03_counter_kiosk_order_005.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\03-counter-kiosk-order\megacoffee-0012-2_2.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_2.jpg","classified","좌석에서 보이는 카운터와 메뉴보드"
"01_megacoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\02_interior_seating\01_megacoffee_02_interior_seating_005.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\02-interior-seating\megacoffee-0013-2_20.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_20.jpg","classified","좌석과 벽면 그래픽"
"01_megacoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\02_interior_seating\01_megacoffee_02_interior_seating_006.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\02-interior-seating\megacoffee-0014-2_21.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_21.jpg","classified","좌석 공간"
"01_megacoffee","99_review_needed","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\99_review_needed\01_megacoffee_99_review_needed_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\09-caution-unusable\megacoffee-0015-2_22.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_22.jpg","classified","인물 홍보물이 크게 노출됨"
"01_megacoffee","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\05_food_drink_menu\01_megacoffee_05_food_drink_menu_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\05-food-drink-menu\megacoffee-0016-2_23.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_23.jpg","classified","음료 2종"
"01_megacoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\02_interior_seating\01_megacoffee_02_interior_seating_007.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\02-interior-seating\megacoffee-0017-2_24.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_24.jpg","classified","내부 진열과 벽면"
"01_megacoffee","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\03_counter_kiosk_order\01_megacoffee_03_counter_kiosk_order_006.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\03-counter-kiosk-order\megacoffee-0018-2_25.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_25.jpg","classified","카운터와 좌석 동선"
"01_megacoffee","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\05_food_drink_menu\01_megacoffee_05_food_drink_menu_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\05-food-drink-menu\megacoffee-0019-2_26.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_26.jpg","classified","음료와 디저트 컷"
"01_megacoffee","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\01_megacoffee\01_exterior_signage\01_megacoffee_01_exterior_signage_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\01-exterior-signage\megacoffee-0020-2_27.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_27.jpg","classified","외부 전면 간판"
