brand_slug,seq_in_brand,corpus_seq,file_name,original_path,brand_copy_path,ready_copy_path,char_count
subway,1,1,0415_창업_양승인2_천안시 써브웨이 창업 양도양수.txt,D:\26년 5월 기준 정보\사설블로그 검수자료_푼거\(349) 양승인_천안시 써브웨이 창업 양도양수 0415-2\0415_창업_양승인2_천안시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\subway\subway_001_0415_창업_양승인2_천안시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\00_blog_posts\subway_001_0415_창업_양승인2_천안시 써브웨이 창업 양도양수.txt,2054
subway,2,6,0420_창업_양승인2_인천시 써브웨이 창업 양도양수.txt,D:\26년 5월 기준 정보\사설블로그 검수자료_푼거\(353) 양승인_창업_인천시 써브웨이 창업 양도양수 0420-2\0420_창업_양승인2_인천시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\subway\subway_002_0420_창업_양승인2_인천시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\00_blog_posts\subway_002_0420_창업_양승인2_인천시 써브웨이 창업 양도양수.txt,2075
subway,3,8,0422_창업_양승인2_ 평택시 써브웨이 창업 양도양수.txt,D:\26년 5월 기준 정보\사설블로그 검수자료_푼거\(356) 양승인_창업_평택시 써브웨이 창업 양도양수 0422-2\0422_창업_양승인2_ 평택시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\subway\subway_003_0422_창업_양승인2_ 평택시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\00_blog_posts\subway_003_0422_창업_양승인2_ 평택시 써브웨이 창업 양도양수.txt,2046
subway,4,12,0427_창업_양승인_수원시 써브웨이 창업 양도양수.txt,D:\26년 5월 기준 정보\사설블로그 검수자료_푼거\(359) 양승인_창업_수원시 써브웨이 창업 양도양수_0427\0427_창업_양승인_수원시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\subway\subway_004_0427_창업_양승인_수원시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\00_blog_posts\subway_004_0427_창업_양승인_수원시 써브웨이 창업 양도양수.txt,2063
subway,5,14,0504_창업_양승인2_성남시 써브웨이 창업 양도양수.txt,D:\26년 5월 기준 정보\사설블로그 검수자료_푼거\(362) 양승인_성남시 써브웨이 창업 양도양수_0504-2\0504_창업_양승인2_성남시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\subway\subway_005_0504_창업_양승인2_성남시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\00_blog_posts\subway_005_0504_창업_양승인2_성남시 써브웨이 창업 양도양수.txt,2051
subway,6,17,ㅅㅈ- 0507_창업_양승인2_송파구 써브웨이 창업 양도양수.txt,D:\26년 5월 기준 정보\사설블로그 검수자료_푼거\(366) 양승인_송파구 써브웨이 창업 양도양수_0507-2(AS)\ㅅㅈ- 0507_창업_양승인2_송파구 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\subway\subway_006_ㅅㅈ- 0507_창업_양승인2_송파구 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\00_blog_posts\subway_006_ㅅㅈ- 0507_창업_양승인2_송파구 써브웨이 창업 양도양수.txt,2188
subway,7,20,수정- 0511_창업_양승인2_안양시 써브웨이 창업 양도양수.txt,D:\26년 5월 기준 정보\사설블로그 검수자료_푼거\(368) 양승인_안양시 써브웨이 창업 양도양수_0511-2(AS)\수정- 0511_창업_양승인2_안양시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\subway\subway_007_수정- 0511_창업_양승인2_안양시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\00_blog_posts\subway_007_수정- 0511_창업_양승인2_안양시 써브웨이 창업 양도양수.txt,2502
subway,8,21,0511_창업_양승인2_안양시 써브웨이 창업 양도양수.txt,D:\26년 5월 기준 정보\사설블로그 검수자료_푼거\(368) 양승인_안양시 써브웨이 창업 양도양수_0511-2\0511_창업_양승인2_안양시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\subway\subway_008_0511_창업_양승인2_안양시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\00_blog_posts\subway_008_0511_창업_양승인2_안양시 써브웨이 창업 양도양수.txt,2096
subway,9,24,0518_창업_양승인1_수원시 써브웨이 창업 양도양수.txt,D:\26년 5월 기준 정보\사설블로그 검수자료_푼거\(374) 양승인_수원시 써브웨이 창업 양도양수_0518-1\0518_창업_양승인1_수원시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\subway\subway_009_0518_창업_양승인1_수원시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\00_blog_posts\subway_009_0518_창업_양승인1_수원시 써브웨이 창업 양도양수.txt,2063
subway,10,29,0521_창업_양승인_의정부시 써브웨이 창업 양도양수.txt,D:\26년 5월 기준 정보\사설블로그 검수자료_푼거\(379) 양승인_의정부시 써브웨이 창업 양도양수_0521-1\0521_창업_양승인_의정부시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\blog-writing-corpus\compiled\by-brand\subway\subway_010_0521_창업_양승인_의정부시 써브웨이 창업 양도양수.txt,C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\00_blog_posts\subway_010_0521_창업_양승인_의정부시 써브웨이 창업 양도양수.txt,2085
