"brand","category","ready_file","source_copy","original_source","status","notes"
"02_subway","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\03_counter_kiosk_order\02_subway_03_counter_kiosk_order_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0001-1_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_1.jpg","classified","카운터와 내부 주문 동선"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0002-1_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_10.jpg","classified","외부 전면 간판과 출입구"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0003-1_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_11.jpg","classified","외부 전면 간판"
"02_subway","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\05_food_drink_menu\02_subway_05_food_drink_menu_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0004-1_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_12.jpg","classified","제품 이미지 컷"
"02_subway","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\05_food_drink_menu\02_subway_05_food_drink_menu_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0005-1_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_13.jpg","classified","샌드위치와 음료 제품컷"
"02_subway","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\03_counter_kiosk_order\02_subway_03_counter_kiosk_order_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0006-1_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_14.jpg","classified","키오스크와 주문 동선"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0007-1_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_15.jpg","classified","외부 전면 간판"
"02_subway","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\03_counter_kiosk_order\02_subway_03_counter_kiosk_order_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0008-1_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_16.jpg","classified","카운터와 메뉴보드"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0009-1_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_17.jpg","classified","외부 전면 간판"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0010-1_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_18.jpg","classified","창가 좌석"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_005.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0011-1_19.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_19.jpg","classified","외부 간판과 쇼윈도"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0012-1_2.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_2.jpg","classified","좌석 공간"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0013-1_20.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_20.jpg","classified","좌석과 카운터 방향"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0014-1_21.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_21.jpg","classified","좌석과 브랜드 월사인"
"02_subway","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\05_food_drink_menu\02_subway_05_food_drink_menu_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0015-1_22.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_22.jpg","classified","샌드위치 제품컷"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_005.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0016-1_3.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_3.jpg","classified","좌석 공간"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_006.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0017-1_4.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_4.jpg","classified","외부 전면 간판"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_007.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0018-1_5.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_5.jpg","classified","외부 전면 간판"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_008.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0019-1_6.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_6.jpg","classified","외부 전면 간판"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_009.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0020-1_7.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_7.jpg","classified","외부 전면 간판"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_010.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0021-1_8.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_8.jpg","classified","외부 전면 간판"
"02_subway","06_menu_promotion","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\06_menu_promotion\02_subway_06_menu_promotion_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0022-1_9.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\1_9.jpg","classified","브랜드 로고 그래픽"
"02_subway","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\05_food_drink_menu\02_subway_05_food_drink_menu_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0023-2_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_1.jpg","classified","샌드위치 포장 제품컷"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_006.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0024-2_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_10.jpg","classified","좌석과 내부 벽면"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_007.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0025-2_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_11.jpg","classified","창가 좌석"
"02_subway","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\05_food_drink_menu\02_subway_05_food_drink_menu_005.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0026-2_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_12.jpg","classified","샌드위치 재료 쇼케이스"
"02_subway","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\03_counter_kiosk_order\02_subway_03_counter_kiosk_order_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0027-2_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_13.jpg","classified","출입구와 줄서기 동선"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_011.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0028-2_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_14.jpg","classified","외부 출입구와 간판"
"02_subway","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\03_counter_kiosk_order\02_subway_03_counter_kiosk_order_005.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0029-2_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_15.jpg","classified","카운터와 메뉴보드"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_008.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0030-2_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_16.jpg","classified","좌석과 카운터 방향"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_009.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0031-2_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_17.jpg","classified","좌석 공간"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_012.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0032-2_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_18.jpg","classified","외부 간판과 쇼윈도"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_010.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0033-2_19.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_19.jpg","classified","좌석과 브랜드 월사인"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_011.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0034-2_2.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_2.jpg","classified","좌석과 브랜드 컬러 벽면"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_012.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0035-2_20.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_20.jpg","classified","좌석과 벽면 문구"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_013.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0036-2_21.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_21.jpg","classified","좌석과 브랜드 월사인"
"02_subway","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\03_counter_kiosk_order\02_subway_03_counter_kiosk_order_006.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0037-2_22.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_22.jpg","classified","카운터와 주문 동선"
"02_subway","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\01_exterior_signage\02_subway_01_exterior_signage_013.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0038-2_23.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_23.jpg","classified","외부 전면 간판과 출입구"
"02_subway","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\02_subway\02_interior_seating\02_subway_02_interior_seating_014.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\subway\08-reference-uncategorized\subway-0039-2_24.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\써브웨이\2_24.jpg","classified","브랜드 벽면 그래픽과 좌석"
