"brand","category","ready_file","source_copy","original_source","status","notes"
"04_composecoffee","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\04_composecoffee\01_exterior_signage\04_composecoffee_01_exterior_signage_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\08-reference-uncategorized\composecoffee-0001-1_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_1.jpg","classified","외부 전면 간판과 출입구"
"04_composecoffee","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\04_composecoffee\05_food_drink_menu\04_composecoffee_05_food_drink_menu_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\08-reference-uncategorized\composecoffee-0002-1_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_10.jpg","classified","테이크아웃 컵 제품컷"
"04_composecoffee","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\04_composecoffee\03_counter_kiosk_order\04_composecoffee_03_counter_kiosk_order_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\08-reference-uncategorized\composecoffee-0003-1_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_11.jpg","classified","카운터와 메뉴보드"
"04_composecoffee","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\04_composecoffee\01_exterior_signage\04_composecoffee_01_exterior_signage_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\08-reference-uncategorized\composecoffee-0004-1_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_12.jpg","classified","외부 간판과 출입구"
"04_composecoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\04_composecoffee\02_interior_seating\04_composecoffee_02_interior_seating_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\08-reference-uncategorized\composecoffee-0005-1_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_13.jpg","classified","좌석 공간"
"04_composecoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\04_composecoffee\02_interior_seating\04_composecoffee_02_interior_seating_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\08-reference-uncategorized\composecoffee-0006-1_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_14.jpg","classified","좌석과 브랜드 월사인"
"04_composecoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\04_composecoffee\02_interior_seating\04_composecoffee_02_interior_seating_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\08-reference-uncategorized\composecoffee-0007-1_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_15.jpg","classified","좌석과 브랜드 월사인"
"04_composecoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\04_composecoffee\02_interior_seating\04_composecoffee_02_interior_seating_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\08-reference-uncategorized\composecoffee-0008-1_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_16.jpg","classified","좌석과 브랜드 벽면"
"04_composecoffee","99_review_needed","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\04_composecoffee\99_review_needed\04_composecoffee_99_review_needed_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\08-reference-uncategorized\composecoffee-0009-1_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_17.jpg","classified","인물 홍보물이 크게 노출됨"
"04_composecoffee","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\04_composecoffee\02_interior_seating\04_composecoffee_02_interior_seating_005.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\08-reference-uncategorized\composecoffee-0010-1_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_18.jpg","classified","좌석과 브랜드 문구"
