"brand","category","ready_file","source_copy","original_source","status","notes"
"06_twosome-place","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\02_interior_seating\06_twosome-place_02_interior_seating_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0001-1_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_1.jpg","classified","좌석과 카운터 방향"
"06_twosome-place","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\03_counter_kiosk_order\06_twosome-place_03_counter_kiosk_order_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0002-1_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_10.jpg","classified","카운터와 쇼케이스"
"06_twosome-place","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\03_counter_kiosk_order\06_twosome-place_03_counter_kiosk_order_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0003-1_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_11.jpg","classified","디저트 쇼케이스와 카운터"
"06_twosome-place","06_menu_promotion","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\06_menu_promotion\06_twosome-place_06_menu_promotion_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0004-1_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_12.jpg","classified","외부 케이크 디지털 홍보물"
"06_twosome-place","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\02_interior_seating\06_twosome-place_02_interior_seating_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0005-1_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_13.jpg","classified","좌석과 브랜드 월사인"
"06_twosome-place","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\02_interior_seating\06_twosome-place_02_interior_seating_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0006-1_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_14.jpg","classified","긴 테이블 좌석"
"06_twosome-place","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\02_interior_seating\06_twosome-place_02_interior_seating_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0007-1_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_15.jpg","classified","긴 좌석 공간"
"06_twosome-place","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\05_food_drink_menu\06_twosome-place_05_food_drink_menu_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0008-1_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_16.jpg","classified","커피와 디저트 제품컷"
"06_twosome-place","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\05_food_drink_menu\06_twosome-place_05_food_drink_menu_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0009-1_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_17.jpg","classified","케이크 쇼케이스"
"06_twosome-place","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\05_food_drink_menu\06_twosome-place_05_food_drink_menu_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0010-1_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_18.jpg","classified","디저트 제품컷"
"06_twosome-place","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\05_food_drink_menu\06_twosome-place_05_food_drink_menu_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0011-1_19.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_19.jpg","classified","케이크 제품컷"
"06_twosome-place","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\02_interior_seating\06_twosome-place_02_interior_seating_005.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0012-1_2.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_2.jpg","classified","좌석 공간"
"06_twosome-place","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\06_twosome-place\01_exterior_signage\06_twosome-place_01_exterior_signage_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\08-reference-uncategorized\twosome-place-0013-1_20.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_20.jpg","classified","외부 출입구와 간판"
