"brand","category","ready_file","source_copy","original_source","status","notes"
"07_baskin-robbins","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\03_counter_kiosk_order\07_baskin-robbins_03_counter_kiosk_order_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0001-1_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_1.jpg","classified","counter menu board and ice cream display"
"07_baskin-robbins","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\03_counter_kiosk_order\07_baskin-robbins_03_counter_kiosk_order_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0002-1_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_10.jpg","classified","counter menu board"
"07_baskin-robbins","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\03_counter_kiosk_order\07_baskin-robbins_03_counter_kiosk_order_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0003-1_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_11.jpg","classified","counter ice cream display"
"07_baskin-robbins","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\03_counter_kiosk_order\07_baskin-robbins_03_counter_kiosk_order_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0004-1_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_12.jpg","classified","kiosk and seating context"
"07_baskin-robbins","06_menu_promotion","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\06_menu_promotion\07_baskin-robbins_06_menu_promotion_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0005-1_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_13.jpg","classified","digital menu board closeup"
"07_baskin-robbins","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\05_food_drink_menu\07_baskin-robbins_05_food_drink_menu_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0006-1_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_14.jpg","classified","cake freezer display"
"07_baskin-robbins","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\03_counter_kiosk_order\07_baskin-robbins_03_counter_kiosk_order_005.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0007-1_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_15.jpg","classified","counter and menu board"
"07_baskin-robbins","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\02_interior_seating\07_baskin-robbins_02_interior_seating_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0008-1_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_16.jpg","classified","seating and cake freezer area"
"07_baskin-robbins","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\01_exterior_signage\07_baskin-robbins_01_exterior_signage_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0009-1_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_17.jpg","classified","exterior storefront sign"
"07_baskin-robbins","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\02_interior_seating\07_baskin-robbins_02_interior_seating_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0010-1_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_18.jpg","classified","seating and kiosk area"
"07_baskin-robbins","06_menu_promotion","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\06_menu_promotion\07_baskin-robbins_06_menu_promotion_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0011-1_19.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_19.jpg","classified","menu promotion panel"
"07_baskin-robbins","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\05_food_drink_menu\07_baskin-robbins_05_food_drink_menu_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0012-1_2.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_2.jpg","classified","ice cream product cut"
"07_baskin-robbins","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\03_counter_kiosk_order\07_baskin-robbins_03_counter_kiosk_order_006.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0013-1_20.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_20.jpg","classified","counter ice cream display"
"07_baskin-robbins","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\05_food_drink_menu\07_baskin-robbins_05_food_drink_menu_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0014-1_21.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_21.jpg","classified","cake freezer display"
"07_baskin-robbins","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\03_counter_kiosk_order\07_baskin-robbins_03_counter_kiosk_order_007.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0015-1_3.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_3.jpg","classified","counter product display"
"07_baskin-robbins","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\05_food_drink_menu\07_baskin-robbins_05_food_drink_menu_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0016-1_4.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_4.jpg","classified","ice cream cup product cut"
"07_baskin-robbins","06_menu_promotion","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\07_baskin-robbins\06_menu_promotion\07_baskin-robbins_06_menu_promotion_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\08-reference-uncategorized\baskin-robbins-0017-1_5.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_5.jpg","classified","interior promotion stand"
