"brand","category","ready_file","source_copy","original_source","status","notes"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0001-1_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_1.jpg","classified","bakery product display"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0002-1_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_10.jpg","classified","drink and bakery product cut"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0003-1_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_11.jpg","classified","bakery display table"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0004-1_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_12.jpg","classified","bakery showcase"
"08_paris-baguette","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\01_exterior_signage\08_paris-baguette_01_exterior_signage_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0005-1_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_13.jpg","classified","exterior storefront sign"
"08_paris-baguette","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\01_exterior_signage\08_paris-baguette_01_exterior_signage_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0006-1_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_14.jpg","classified","exterior storefront and street context"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_005.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0007-1_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_15.jpg","classified","bakery product display"
"08_paris-baguette","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\01_exterior_signage\08_paris-baguette_01_exterior_signage_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0008-1_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_16.jpg","classified","exterior storefront sign"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_006.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0009-1_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_17.jpg","classified","sandwich and bakery showcase"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_007.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0010-1_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_18.jpg","classified","bakery display table"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_008.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0011-1_19.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_19.jpg","classified","bakery display and store aisle"
"08_paris-baguette","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\01_exterior_signage\08_paris-baguette_01_exterior_signage_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0012-1_2.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_2.jpg","classified","exterior entrance sign"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_009.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0013-1_20.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_20.jpg","classified","bakery display and store aisle"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_010.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0014-1_21.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_21.jpg","classified","sandwich showcase"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_011.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0015-1_22.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_22.jpg","classified","bakery product display"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_012.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0016-1_23.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_23.jpg","classified","bread product display"
"08_paris-baguette","05_food_drink_menu","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\05_food_drink_menu\08_paris-baguette_05_food_drink_menu_013.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0017-1_24.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_24.jpg","classified","gift and packaged product display"
"08_paris-baguette","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\08_paris-baguette\02_interior_seating\08_paris-baguette_02_interior_seating_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\08-reference-uncategorized\paris-baguette-0018-1_25.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_25.jpg","classified","wide bakery interior"
