"brand","category","ready_file","source_copy","original_source","status","notes"
"09_paikdabang","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\03_counter_kiosk_order\09_paikdabang_03_counter_kiosk_order_001.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0001-1_1.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_1.jpeg","classified","counter menu board and seating context"
"09_paikdabang","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\03_counter_kiosk_order\09_paikdabang_03_counter_kiosk_order_002.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0002-1_10.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_10.jpeg","classified","counter menu board"
"09_paikdabang","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\03_counter_kiosk_order\09_paikdabang_03_counter_kiosk_order_003.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0003-1_11.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_11.jpeg","classified","counter and showcase"
"09_paikdabang","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\03_counter_kiosk_order\09_paikdabang_03_counter_kiosk_order_004.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0004-1_12.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_12.jpeg","classified","kiosk and counter area"
"09_paikdabang","06_menu_promotion","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\06_menu_promotion\09_paikdabang_06_menu_promotion_001.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0005-1_13.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_13.jpeg","classified","promotion notice at counter"
"09_paikdabang","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\03_counter_kiosk_order\09_paikdabang_03_counter_kiosk_order_005.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0006-1_14.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_14.jpeg","classified","kiosk order area"
"09_paikdabang","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\03_counter_kiosk_order\09_paikdabang_03_counter_kiosk_order_006.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0007-1_15.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_15.jpeg","classified","counter and menu board"
"09_paikdabang","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\01_exterior_signage\09_paikdabang_01_exterior_signage_001.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0008-1_16.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_16.jpeg","classified","exterior storefront sign"
"09_paikdabang","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\02_interior_seating\09_paikdabang_02_interior_seating_001.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0009-1_17.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_17.jpeg","classified","seating and counter corridor"
"09_paikdabang","01_exterior_signage","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\01_exterior_signage\09_paikdabang_01_exterior_signage_002.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0010-1_18.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_18.jpeg","classified","exterior storefront sign"
"09_paikdabang","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\03_counter_kiosk_order\09_paikdabang_03_counter_kiosk_order_007.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0011-1_19.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_19.jpeg","classified","counter front and menu board"
"09_paikdabang","02_interior_seating","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\02_interior_seating\09_paikdabang_02_interior_seating_002.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0012-1_2.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_2.jpeg","classified","seating area with brand sign"
"09_paikdabang","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\03_counter_kiosk_order\09_paikdabang_03_counter_kiosk_order_008.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0013-1_20.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_20.jpeg","classified","counter menu board"
"09_paikdabang","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\03_counter_kiosk_order\09_paikdabang_03_counter_kiosk_order_009.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0014-1_21.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_21.jpeg","classified","counter menu board and showcase"
"09_paikdabang","03_counter_kiosk_order","C:\Users\home\Documents\detailpages\franchise-photo-library\_ready-for-detail-page\09_paikdabang\03_counter_kiosk_order\09_paikdabang_03_counter_kiosk_order_010.jpeg","C:\Users\home\Documents\detailpages\franchise-photo-library\paikdabang\08-reference-uncategorized\paikdabang-0015-1_22.jpeg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\빽다방\1_22.jpeg","classified","counter menu board and showcase"
