"brand","status","category","copied_filename","source_path","working_path","original_last_write_time","original_size_bytes","notes"
"baskin-robbins","classified","03-counter-kiosk-order","baskin-robbins-0001-1_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_1.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\03-counter-kiosk-order\baskin-robbins-0001-1_1.jpg","2026-04-14T12:33:24","400401","counter menu board and ice cream display"
"baskin-robbins","classified","03-counter-kiosk-order","baskin-robbins-0002-1_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_10.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\03-counter-kiosk-order\baskin-robbins-0002-1_10.jpg","2026-04-14T12:36:21","190606","counter menu board"
"baskin-robbins","classified","03-counter-kiosk-order","baskin-robbins-0003-1_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_11.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\03-counter-kiosk-order\baskin-robbins-0003-1_11.jpg","2026-04-14T12:36:39","313983","counter ice cream display"
"baskin-robbins","classified","03-counter-kiosk-order","baskin-robbins-0004-1_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_12.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\03-counter-kiosk-order\baskin-robbins-0004-1_12.jpg","2026-04-14T12:37:07","284949","kiosk and seating context"
"baskin-robbins","classified","06-menu-promotion","baskin-robbins-0005-1_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_13.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\06-menu-promotion\baskin-robbins-0005-1_13.jpg","2026-04-14T12:37:17","294283","digital menu board closeup"
"baskin-robbins","classified","05-food-drink-menu","baskin-robbins-0006-1_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_14.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\05-food-drink-menu\baskin-robbins-0006-1_14.jpg","2026-04-14T12:37:33","485080","cake freezer display"
"baskin-robbins","classified","03-counter-kiosk-order","baskin-robbins-0007-1_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_15.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\03-counter-kiosk-order\baskin-robbins-0007-1_15.jpg","2026-04-14T12:37:49","437027","counter and menu board"
"baskin-robbins","classified","02-interior-seating","baskin-robbins-0008-1_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_16.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\02-interior-seating\baskin-robbins-0008-1_16.jpg","2026-04-14T12:37:57","320994","seating and cake freezer area"
"baskin-robbins","classified","01-exterior-signage","baskin-robbins-0009-1_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_17.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\01-exterior-signage\baskin-robbins-0009-1_17.jpg","2026-04-14T12:38:08","667286","exterior storefront sign"
"baskin-robbins","classified","02-interior-seating","baskin-robbins-0010-1_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\배스킨라빈스\1_18.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\baskin-robbins\02-interior-seating\baskin-robbins-0010-1_18.jpg","2026-04-14T12:38:35","399049","seating and kiosk area"
