seq,category,notes
281,03-counter-kiosk-order,카운터 장비와 메뉴보드
282,01-exterior-signage,외부 코너 매장 전경
283,03-counter-kiosk-order,카운터와 메뉴보드
284,03-counter-kiosk-order,카운터와 메뉴보드
285,02-interior-seating,창가 좌석과 출입구
286,09-caution-unusable,인물 홍보물이 크게 노출됨
287,09-caution-unusable,인물 홍보물이 크게 노출됨
288,03-counter-kiosk-order,카운터와 메뉴보드
289,03-counter-kiosk-order,카운터와 키오스크
290,02-interior-seating,좌석과 내부 진열
291,03-counter-kiosk-order,카운터와 내부 동선
292,03-counter-kiosk-order,카운터와 내부 동선
293,02-interior-seating,좌석과 브랜드 월사인
294,03-counter-kiosk-order,카운터와 메뉴보드
295,02-interior-seating,좌석과 브랜드 월사인
296,02-interior-seating,좌석 공간
297,01-exterior-signage,외부 전면 간판
298,03-counter-kiosk-order,카운터와 메뉴보드
299,05-food-drink-menu,테이크아웃 컵 제품컷
300,03-counter-kiosk-order,카운터 장비와 메뉴보드
301,01-exterior-signage,외부 전면 간판
302,01-exterior-signage,야간 외부 전면 간판
303,02-interior-seating,좌석과 카운터 방향
304,02-interior-seating,창가 좌석

