"brand","status","category","copied_filename","source_path","working_path","original_last_write_time","original_size_bytes","notes"
"composecoffee","classified","01-exterior-signage","composecoffee-0001-1_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_1.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\01-exterior-signage\composecoffee-0001-1_1.jpg","2026-04-14T14:36:38","415428","외부 전면 간판과 출입구"
"composecoffee","classified","05-food-drink-menu","composecoffee-0002-1_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_10.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\05-food-drink-menu\composecoffee-0002-1_10.jpg","2026-04-14T14:40:47","199947","테이크아웃 컵 제품컷"
"composecoffee","classified","03-counter-kiosk-order","composecoffee-0003-1_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_11.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\03-counter-kiosk-order\composecoffee-0003-1_11.jpg","2026-04-14T14:47:46","319313","카운터와 메뉴보드"
"composecoffee","classified","01-exterior-signage","composecoffee-0004-1_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_12.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\01-exterior-signage\composecoffee-0004-1_12.jpg","2026-04-14T14:48:01","347566","외부 간판과 출입구"
"composecoffee","classified","02-interior-seating","composecoffee-0005-1_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_13.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\02-interior-seating\composecoffee-0005-1_13.jpg","2026-04-14T14:48:31","509077","좌석 공간"
"composecoffee","classified","02-interior-seating","composecoffee-0006-1_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_14.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\02-interior-seating\composecoffee-0006-1_14.jpg","2026-04-14T14:48:40","232914","좌석과 브랜드 월사인"
"composecoffee","classified","02-interior-seating","composecoffee-0007-1_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_15.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\02-interior-seating\composecoffee-0007-1_15.jpg","2026-04-14T14:48:52","276657","좌석과 브랜드 월사인"
"composecoffee","classified","02-interior-seating","composecoffee-0008-1_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_16.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\02-interior-seating\composecoffee-0008-1_16.jpg","2026-04-14T14:50:51","222605","좌석과 브랜드 벽면"
"composecoffee","classified","09-caution-unusable","composecoffee-0009-1_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_17.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\09-caution-unusable\composecoffee-0009-1_17.jpg","2026-04-14T14:51:05","264050","인물 홍보물이 크게 노출됨"
"composecoffee","classified","02-interior-seating","composecoffee-0010-1_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\컴포즈커피\1_18.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\composecoffee\02-interior-seating\composecoffee-0010-1_18.jpg","2026-04-14T14:51:13","238104","좌석과 브랜드 문구"
