"brand","category","normalized_filename","normalized_path","source_copy_filename","original_source_path","notes"
"megacoffee","01-exterior-signage","megacoffee_exterior_signage_001.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\90-classified-normalized\01-exterior-signage\megacoffee_exterior_signage_001.jpg","megacoffee-0009-2_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_17.jpg","외부 간판과 출입구"
"megacoffee","01-exterior-signage","megacoffee_exterior_signage_002.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\90-classified-normalized\01-exterior-signage\megacoffee_exterior_signage_002.jpg","megacoffee-0020-2_27.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_27.jpg","외부 전면 간판"
"megacoffee","01-exterior-signage","megacoffee_exterior_signage_003.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\90-classified-normalized\01-exterior-signage\megacoffee_exterior_signage_003.jpg","megacoffee-0022-2_29.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_29.jpg","외부 코너 매장 전경"
"megacoffee","01-exterior-signage","megacoffee_exterior_signage_004.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\90-classified-normalized\01-exterior-signage\megacoffee_exterior_signage_004.jpg","megacoffee-0025-2_31.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_31.jpg","야간 외부 간판"
"megacoffee","01-exterior-signage","megacoffee_exterior_signage_005.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\90-classified-normalized\01-exterior-signage\megacoffee_exterior_signage_005.jpg","megacoffee-0032-2_8.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_8.jpg","출입구와 외부 홍보물"
"megacoffee","01-exterior-signage","megacoffee_exterior_signage_006.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\90-classified-normalized\01-exterior-signage\megacoffee_exterior_signage_006.jpg","megacoffee-0033-2_9.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_9.jpg","야간 출입구 전경"
"megacoffee","01-exterior-signage","megacoffee_exterior_signage_007.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\90-classified-normalized\01-exterior-signage\megacoffee_exterior_signage_007.jpg","megacoffee-0034-4_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\4_1.jpg","출입구와 유리문"
"megacoffee","01-exterior-signage","megacoffee_exterior_signage_008.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\90-classified-normalized\01-exterior-signage\megacoffee_exterior_signage_008.jpg","megacoffee-0035-4_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\4_10.jpg","외부 간판과 입구"
"megacoffee","01-exterior-signage","megacoffee_exterior_signage_009.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\90-classified-normalized\01-exterior-signage\megacoffee_exterior_signage_009.jpg","megacoffee-0043-4_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\4_18.jpg","야간 외부 간판과 출입구"
"megacoffee","01-exterior-signage","megacoffee_exterior_signage_010.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\90-classified-normalized\01-exterior-signage\megacoffee_exterior_signage_010.jpg","megacoffee-0047-4_21.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\4_21.jpg","외부 출입구와 간판"
