"brand","status","category","copied_filename","source_path","working_path","original_last_write_time","original_size_bytes","notes"
"megacoffee","classified","03-counter-kiosk-order","megacoffee-0001-2_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_1.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\03-counter-kiosk-order\megacoffee-0001-2_1.jpg","2026-04-16T11:09:45","353458","카운터와 메뉴보드가 함께 보이는 매장 내부"
"megacoffee","classified","03-counter-kiosk-order","megacoffee-0002-2_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_10.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\03-counter-kiosk-order\megacoffee-0002-2_10.jpg","2026-04-16T11:15:35","561653","주문 카운터와 메뉴보드"
"megacoffee","classified","03-counter-kiosk-order","megacoffee-0003-2_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_11.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\03-counter-kiosk-order\megacoffee-0003-2_11.jpg","2026-04-16T11:16:01","316314","카운터 정면과 디지털 메뉴"
"megacoffee","classified","05-food-drink-menu","megacoffee-0004-2_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_12.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\05-food-drink-menu\megacoffee-0004-2_12.jpg","2026-04-16T11:16:14","223617","음료와 디저트"
"megacoffee","classified","02-interior-seating","megacoffee-0005-2_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_13.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\02-interior-seating\megacoffee-0005-2_13.jpg","2026-04-16T11:17:05","246707","창가 좌석"
"megacoffee","classified","02-interior-seating","megacoffee-0006-2_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_14.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\02-interior-seating\megacoffee-0006-2_14.jpg","2026-04-16T12:02:07","281452","좌석과 매장 내부"
"megacoffee","classified","02-interior-seating","megacoffee-0007-2_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_15.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\02-interior-seating\megacoffee-0007-2_15.jpg","2026-04-16T12:02:53","253291","벽면 그래픽과 좌석"
"megacoffee","classified","06-menu-promotion","megacoffee-0008-2_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_16.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\06-menu-promotion\megacoffee-0008-2_16.jpg","2026-04-16T12:03:07","335367","홍보물과 냉장 쇼케이스"
"megacoffee","classified","01-exterior-signage","megacoffee-0009-2_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_17.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\01-exterior-signage\megacoffee-0009-2_17.jpg","2026-04-16T12:03:40","273099","외부 간판과 출입구"
"megacoffee","classified","02-interior-seating","megacoffee-0010-2_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\메가\2_18.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\megacoffee\02-interior-seating\megacoffee-0010-2_18.jpg","2026-04-16T12:03:49","227763","좌석 공간"
