seq,category,notes
1,05-food-drink-menu,bakery product display
2,05-food-drink-menu,drink and bakery product cut
3,05-food-drink-menu,bakery display table
4,05-food-drink-menu,bakery showcase
5,01-exterior-signage,exterior storefront sign
6,01-exterior-signage,exterior storefront and street context
7,05-food-drink-menu,bakery product display
8,01-exterior-signage,exterior storefront sign
9,05-food-drink-menu,sandwich and bakery showcase
10,05-food-drink-menu,bakery display table
11,05-food-drink-menu,bakery display and store aisle
12,01-exterior-signage,exterior entrance sign
13,05-food-drink-menu,bakery display and store aisle
14,05-food-drink-menu,sandwich showcase
15,05-food-drink-menu,bakery product display
16,05-food-drink-menu,bread product display
17,05-food-drink-menu,gift and packaged product display
18,02-interior-seating,wide bakery interior
19,02-interior-seating,cafe seating area
20,05-food-drink-menu,sandwich showcase
21,01-exterior-signage,exterior storefront sign at night
22,05-food-drink-menu,bread shelf display
23,05-food-drink-menu,cake showcase
24,02-interior-seating,cafe seating and bakery display context
25,05-food-drink-menu,bakery product showcase
26,05-food-drink-menu,bakery aisle display
27,01-exterior-signage,exterior sign closeup
28,05-food-drink-menu,cake showcase
29,01-exterior-signage,exterior storefront sign
30,05-food-drink-menu,bakery showcase
31,01-exterior-signage,exterior entrance and promotion stand
32,05-food-drink-menu,bakery product display
33,05-food-drink-menu,bakery display and store context
34,05-food-drink-menu,sandwich showcase
35,05-food-drink-menu,bakery product display
36,01-exterior-signage,exterior storefront sign
37,01-exterior-signage,exterior brand sign and entrance
38,05-food-drink-menu,bakery interior product display
39,05-food-drink-menu,bread product display
40,05-food-drink-menu,bakery product display
