"brand","status","category","copied_filename","source_path","working_path","original_last_write_time","original_size_bytes","notes"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0001-1_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_1.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0001-1_1.jpg","2026-04-17T10:59:26","506143","bakery product display"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0002-1_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_10.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0002-1_10.jpg","2026-04-17T11:02:32","233385","drink and bakery product cut"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0003-1_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_11.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0003-1_11.jpg","2026-04-17T11:02:42","374233","bakery display table"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0004-1_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_12.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0004-1_12.jpg","2026-04-17T11:03:40","530155","bakery showcase"
"paris-baguette","classified","01-exterior-signage","paris-baguette-0005-1_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_13.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\01-exterior-signage\paris-baguette-0005-1_13.jpg","2026-04-17T11:04:08","459494","exterior storefront sign"
"paris-baguette","classified","01-exterior-signage","paris-baguette-0006-1_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_14.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\01-exterior-signage\paris-baguette-0006-1_14.jpg","2026-04-17T11:04:17","293206","exterior storefront and street context"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0007-1_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_15.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0007-1_15.jpg","2026-04-17T11:05:06","421162","bakery product display"
"paris-baguette","classified","01-exterior-signage","paris-baguette-0008-1_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_16.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\01-exterior-signage\paris-baguette-0008-1_16.jpg","2026-04-17T11:05:20","467555","exterior storefront sign"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0009-1_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_17.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0009-1_17.jpg","2026-04-17T11:05:42","432754","sandwich and bakery showcase"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0010-1_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_18.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0010-1_18.jpg","2026-04-17T11:05:58","369988","bakery display table"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0011-1_19.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_19.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0011-1_19.jpg","2026-04-17T11:06:09","489893","bakery display and store aisle"
"paris-baguette","classified","01-exterior-signage","paris-baguette-0012-1_2.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_2.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\01-exterior-signage\paris-baguette-0012-1_2.jpg","2026-04-17T10:59:57","318839","exterior entrance sign"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0013-1_20.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_20.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0013-1_20.jpg","2026-04-17T11:06:17","336445","bakery display and store aisle"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0014-1_21.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_21.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0014-1_21.jpg","2026-04-17T11:06:50","455586","sandwich showcase"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0015-1_22.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_22.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0015-1_22.jpg","2026-04-17T11:07:03","387595","bakery product display"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0016-1_23.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_23.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0016-1_23.jpg","2026-04-17T11:07:21","431245","bread product display"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0017-1_24.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_24.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0017-1_24.jpg","2026-04-17T11:07:48","338361","gift and packaged product display"
"paris-baguette","classified","02-interior-seating","paris-baguette-0018-1_25.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_25.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\02-interior-seating\paris-baguette-0018-1_25.jpg","2026-04-17T11:08:27","257824","wide bakery interior"
"paris-baguette","classified","02-interior-seating","paris-baguette-0019-1_26.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_26.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\02-interior-seating\paris-baguette-0019-1_26.jpg","2026-04-17T11:08:34","370215","cafe seating area"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0020-1_27.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_27.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0020-1_27.jpg","2026-04-17T11:08:48","323860","sandwich showcase"
"paris-baguette","classified","01-exterior-signage","paris-baguette-0021-1_28.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_28.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\01-exterior-signage\paris-baguette-0021-1_28.jpg","2026-04-17T11:08:56","434837","exterior storefront sign at night"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0022-1_29.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_29.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0022-1_29.jpg","2026-04-17T11:09:05","300646","bread shelf display"
"paris-baguette","classified","05-food-drink-menu","paris-baguette-0023-1_3.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\파리바게뜨\1_3.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\paris-baguette\05-food-drink-menu\paris-baguette-0023-1_3.jpg","2026-04-17T11:00:06","378054","cake showcase"
