"brand","status","category","copied_filename","source_path","working_path","original_last_write_time","original_size_bytes","notes"
"twosome-place","classified","02-interior-seating","twosome-place-0001-1_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_1.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\02-interior-seating\twosome-place-0001-1_1.jpg","2026-04-21T10:25:32","375846","좌석과 카운터 방향"
"twosome-place","classified","03-counter-kiosk-order","twosome-place-0002-1_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_10.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\03-counter-kiosk-order\twosome-place-0002-1_10.jpg","2026-04-21T10:27:18","404525","카운터와 쇼케이스"
"twosome-place","classified","03-counter-kiosk-order","twosome-place-0003-1_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_11.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\03-counter-kiosk-order\twosome-place-0003-1_11.jpg","2026-04-21T10:27:34","383906","디저트 쇼케이스와 카운터"
"twosome-place","classified","06-menu-promotion","twosome-place-0004-1_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_12.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\06-menu-promotion\twosome-place-0004-1_12.jpg","2026-04-21T10:28:03","282436","외부 케이크 디지털 홍보물"
"twosome-place","classified","02-interior-seating","twosome-place-0005-1_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_13.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\02-interior-seating\twosome-place-0005-1_13.jpg","2026-04-21T10:28:12","246072","좌석과 브랜드 월사인"
"twosome-place","classified","02-interior-seating","twosome-place-0006-1_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_14.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\02-interior-seating\twosome-place-0006-1_14.jpg","2026-04-21T10:28:24","271135","긴 테이블 좌석"
"twosome-place","classified","02-interior-seating","twosome-place-0007-1_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_15.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\02-interior-seating\twosome-place-0007-1_15.jpg","2026-04-21T10:28:33","341976","긴 좌석 공간"
"twosome-place","classified","05-food-drink-menu","twosome-place-0008-1_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_16.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\05-food-drink-menu\twosome-place-0008-1_16.jpg","2026-04-21T10:28:51","270033","커피와 디저트 제품컷"
"twosome-place","classified","05-food-drink-menu","twosome-place-0009-1_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_17.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\05-food-drink-menu\twosome-place-0009-1_17.jpg","2026-04-21T10:29:17","518853","케이크 쇼케이스"
"twosome-place","classified","05-food-drink-menu","twosome-place-0010-1_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\투썸플레이스\1_18.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\twosome-place\05-food-drink-menu\twosome-place-0010-1_18.jpg","2026-04-21T10:29:40","352838","디저트 제품컷"
