"brand","status","category","copied_filename","source_path","working_path","original_last_write_time","original_size_bytes","notes"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0001-1_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\1_1.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0001-1_1.jpg","2026-04-14T16:21:19","98220","좌석과 내부 동선"
"woozoo-coffee","classified","04-kitchen-equipment","woozoo-coffee-0002-1_2.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\1_2.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\04-kitchen-equipment\woozoo-coffee-0002-1_2.jpg","2026-04-14T16:21:37","105948","커피머신 장비 클로즈업"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0003-1_3.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\1_3.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0003-1_3.jpg","2026-04-14T16:21:45","217660","좌석 공간"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0004-1_4.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\1_4.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0004-1_4.jpg","2026-04-14T16:21:56","106006","좌석과 브랜드 월사인"
"woozoo-coffee","classified","03-counter-kiosk-order","woozoo-coffee-0005-1_5.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\1_5.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\03-counter-kiosk-order\woozoo-coffee-0005-1_5.jpg","2026-04-14T18:16:46","228689","카운터와 메뉴보드"
"woozoo-coffee","classified","05-food-drink-menu","woozoo-coffee-0006-1_6.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\1_6.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\05-food-drink-menu\woozoo-coffee-0006-1_6.jpg","2026-04-14T18:17:01","201085","음료 제품컷"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0007-1_7.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\1_7.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0007-1_7.jpg","2026-04-14T18:17:25","289675","좌석과 브랜드 월사인"
"woozoo-coffee","classified","03-counter-kiosk-order","woozoo-coffee-0008-1_8.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\1_8.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\03-counter-kiosk-order\woozoo-coffee-0008-1_8.jpg","2026-04-14T18:17:34","316103","카운터와 메뉴보드"
"woozoo-coffee","classified","03-counter-kiosk-order","woozoo-coffee-0009-1_9.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\1_9.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\03-counter-kiosk-order\woozoo-coffee-0009-1_9.jpg","2026-04-14T18:17:44","412789","카운터와 장비"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0010-2_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_1.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0010-2_1.jpg","2026-04-15T18:00:48","286699","좌석과 내부 동선"
"woozoo-coffee","classified","01-exterior-signage","woozoo-coffee-0011-2_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_10.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\01-exterior-signage\woozoo-coffee-0011-2_10.jpg","2026-04-15T18:06:11","268531","외부 전면 간판"
"woozoo-coffee","classified","05-food-drink-menu","woozoo-coffee-0012-2_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_11.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\05-food-drink-menu\woozoo-coffee-0012-2_11.jpg","2026-04-15T18:06:28","395433","음료 제품컷"
"woozoo-coffee","classified","01-exterior-signage","woozoo-coffee-0013-2_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_12.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\01-exterior-signage\woozoo-coffee-0013-2_12.jpg","2026-04-15T18:06:41","287893","외부 전면 간판"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0014-2_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_13.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0014-2_13.jpg","2026-04-15T18:06:52","328009","긴 좌석 동선"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0015-2_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_14.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0015-2_14.jpg","2026-04-15T18:07:05","270945","좌석 공간"
"woozoo-coffee","classified","04-kitchen-equipment","woozoo-coffee-0016-2_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_15.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\04-kitchen-equipment\woozoo-coffee-0016-2_15.jpg","2026-04-15T18:07:15","274020","커피머신과 제조 장비"
"woozoo-coffee","classified","01-exterior-signage","woozoo-coffee-0017-2_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_16.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\01-exterior-signage\woozoo-coffee-0017-2_16.jpg","2026-04-15T18:07:55","356260","외부 전면 간판"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0018-2_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_17.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0018-2_17.jpg","2026-04-15T18:08:10","307537","좌석과 진열대"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0019-2_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_18.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0019-2_18.jpg","2026-04-15T18:08:37","314102","넓은 좌석 공간"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0020-2_19.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_19.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0020-2_19.jpg","2026-04-15T18:08:55","450598","브랜드 로고 벽면"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0021-2_2.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_2.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0021-2_2.jpg","2026-04-15T18:01:03","227795","좌석과 진열대"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0022-2_20.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_20.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0022-2_20.jpg","2026-04-15T18:09:07","213392","넓은 좌석 공간"
"woozoo-coffee","classified","02-interior-seating","woozoo-coffee-0023-2_21.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\우지커피\2_21.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\woozoo-coffee\02-interior-seating\woozoo-coffee-0023-2_21.jpg","2026-04-15T18:09:20","227706","좌석 공간"
